state,condition,metric,correct,denominator
BASELINE,OWN_TEXT,goals,33,64
BASELINE,OWN_TEXT,pairs,2,32
BASELINE,OWN_TEXT,worlds_with_pair,2,16
BASELINE,UNAVAILABLE,goals,3,64
BASELINE,UNAVAILABLE,pairs,0,32
BASELINE,UNAVAILABLE,worlds_with_pair,0,16
NEW_TRAJECTORY_LOSS_OFF,OWN_TEXT,goals,26,64
NEW_TRAJECTORY_LOSS_OFF,OWN_TEXT,pairs,1,32
NEW_TRAJECTORY_LOSS_OFF,OWN_TEXT,worlds_with_pair,1,16
NEW_TRAJECTORY_LOSS_OFF,UNAVAILABLE,goals,0,64
NEW_TRAJECTORY_LOSS_OFF,UNAVAILABLE,pairs,0,32
NEW_TRAJECTORY_LOSS_OFF,UNAVAILABLE,worlds_with_pair,0,16
FULL_TARGET,OWN_TEXT,goals,62,64
FULL_TARGET,OWN_TEXT,pairs,30,32
FULL_TARGET,OWN_TEXT,worlds_with_pair,15,16
FULL_TARGET,UNAVAILABLE,goals,23,64
FULL_TARGET,UNAVAILABLE,pairs,0,32
FULL_TARGET,UNAVAILABLE,worlds_with_pair,0,16
