life,arm,sleep,n_items,n_thinking,n_qa,n_episodic,n_reflection,n_principle,n_other,n_notes,first_person,prospective,retrospective,generic,specific,mean_note_words,prev_sleep,cumulative,n_new,n_dropped,new_n_notes,new_first_person,new_prospective,new_retrospective,new_generic,new_specific,new_mean_note_words
R2_B_seed2,R2,0032,127,39,41,8,0,0,39,19,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.05263157894736842,0.42105263157894735,28.31578947368421,,,,,,,,,,,
R2_B_seed2,R2,0064,240,73,83,10,0,0,74,53,0.20754716981132076,0.2641509433962264,0.03773584905660377,0.018867924528301886,0.5283018867924528,19.20754716981132,0032,True,113,0,34,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.0,0.5882352941176471,14.117647058823529
R2_B_seed2,R2,0096,297,91,96,14,0,0,96,70,0.17142857142857143,0.2,0.04285714285714286,0.014285714285714285,0.5428571428571428,18.514285714285716,0064,True,57,0,17,0.058823529411764705,0.0,0.058823529411764705,0.0,0.5882352941176471,16.352941176470587
R2_B_seed2,R2,0128,306,97,96,14,0,0,99,76,0.15789473684210525,0.18421052631578946,0.039473684210526314,0.013157894736842105,0.5657894736842105,18.36842105263158,0096,True,9,0,6,0.0,0.0,0.0,0.0,0.8333333333333334,16.666666666666668
R2_B_seed2,R2,0160,360,137,96,20,0,0,107,116,0.10344827586206896,0.1206896551724138,0.034482758620689655,0.008620689655172414,0.6206896551724138,17.637931034482758,0128,True,54,0,40,0.0,0.0,0.025,0.0,0.725,16.25
R2_B_seed2,R2,0192,406,175,97,20,0,0,114,154,0.07792207792207792,0.09090909090909091,0.045454545454545456,0.006493506493506494,0.6103896103896104,17.38961038961039,0160,True,46,0,38,0.0,0.0,0.07894736842105263,0.0,0.5789473684210527,16.63157894736842
R2_B_seed2,R2,0224,451,215,98,20,0,0,118,194,0.061855670103092786,0.07216494845360824,0.041237113402061855,0.010309278350515464,0.6030927835051546,16.989690721649485,0192,True,45,0,40,0.0,0.0,0.025,0.025,0.575,15.45
R2_B_seed2,R2,0256,495,252,98,20,0,0,125,231,0.05627705627705628,0.06060606060606061,0.03896103896103896,0.008658008658008658,0.6493506493506493,17.051948051948052,0224,True,44,0,37,0.02702702702702703,0.0,0.02702702702702703,0.0,0.8918918918918919,17.37837837837838
R2_B_seed2,R2,0288,543,292,98,20,0,0,133,269,0.055762081784386616,0.05204460966542751,0.03717472118959108,0.007434944237918215,0.6765799256505576,17.185873605947954,0256,True,48,0,38,0.05263157894736842,0.0,0.02631578947368421,0.0,0.8421052631578947,18.0
R2_B_seed2,R2,0320,588,333,99,20,0,0,136,308,0.048701298701298704,0.045454545454545456,0.032467532467532464,0.006493506493506494,0.698051948051948,17.01298701298701,0288,True,45,0,39,0.0,0.0,0.0,0.0,0.8461538461538461,15.820512820512821
R2_B_seed2,R2,0352,632,373,99,21,0,0,139,347,0.043227665706051875,0.040345821325648415,0.02881844380403458,0.005763688760806916,0.7146974063400576,16.93371757925072,0320,True,44,0,39,0.0,0.0,0.0,0.0,0.8461538461538461,16.307692307692307
R2_B_seed2,R2,0384,678,413,100,21,0,0,144,386,0.038860103626943004,0.03626943005181347,0.025906735751295335,0.0051813471502590676,0.7202072538860104,16.94559585492228,0352,True,46,0,39,0.0,0.0,0.0,0.0,0.7692307692307693,17.05128205128205
R2_B_seed2,R2,0416,722,450,101,22,0,0,149,423,0.037825059101654845,0.03309692671394799,0.02364066193853428,0.004728132387706856,0.7423167848699763,17.21276595744681,0384,True,44,0,37,0.02702702702702703,0.0,0.0,0.0,0.972972972972973,20.0
R2_B_seed2,R2,0448,768,490,101,22,0,0,155,460,0.034782608695652174,0.030434782608695653,0.021739130434782608,0.004347826086956522,0.7630434782608696,17.2,0416,True,46,0,37,0.0,0.0,0.0,0.0,1.0,17.054054054054053
R2_B_seed2,R2,0480,808,529,101,22,0,0,156,496,0.036290322580645164,0.03024193548387097,0.020161290322580645,0.004032258064516129,0.7741935483870968,17.574596774193548,0448,True,40,0,36,0.05555555555555555,0.027777777777777776,0.0,0.0,0.9166666666666666,22.36111111111111
R2_B_seed2,R2,0512,855,569,103,22,0,0,161,530,0.04150943396226415,0.035849056603773584,0.018867924528301886,0.0037735849056603774,0.7867924528301887,18.024528301886793,0480,True,47,0,34,0.11764705882352941,0.11764705882352941,0.0,0.0,0.9705882352941176,24.58823529411765
