rate,phase,new_updates,habit,habit_denominator,correct_action,action_denominator,memory,memory_denominator,inherited_baseline
0,0,0,32,32,32,32,4,16,True
0,1,16,32,32,32,32,4,16,False
0,2,32,32,32,32,32,4,16,False
0,3,48,32,32,32,32,4,16,False
0,4,64,32,32,32,32,4,16,False
1e-4,0,0,32,32,32,32,4,16,True
1e-4,1,16,0,32,32,32,4,16,False
1e-4,2,32,0,32,32,32,4,16,False
1e-4,3,48,0,32,32,32,4,16,False
1e-4,4,64,0,32,32,32,4,16,False
3e-5,0,0,32,32,32,32,4,16,True
3e-5,1,16,0,32,32,32,4,16,False
3e-5,2,32,0,32,32,32,4,16,False
3e-5,3,48,0,32,32,32,4,16,False
3e-5,4,64,0,32,32,32,4,16,False
